Parcel,AreaAbbreviation,AreaName,SectionNumber,Region
1,V1,Primary Visual Cortex,1,Primary_Visual
2,MST,"Medial Superior
Temporal Area",5,MT+_Complex_and_Neighboring_Visual_Areas
3,V6,Sixth Visual Area,3,Dorsal_Stream_Visual
4,V2,Second Visual Area,2,Early_Visual
5,V3,Third Visual Area,2,Early_Visual
6,V4,Fourth Visual Area,2,Early_Visual
7,V8,Eighth Visual Area,4,Ventral_Stream_Visual
8,4,"Primary Motor
Cortex",6,Somatosensory_and_Motor
9,3b,"Primary Sensory
Cortex",6,Somatosensory_and_Motor
10,FEF,Frontal Eye Fields,8,Premotor
11,PEF,Premotor Eye Field,8,Premotor
12,55b,Area 55b,8,Premotor
13,V3A,Area V3A,3,Dorsal_Stream_Visual
14,RSC,RetroSplenial Complex,18,Posterior_Cingulate
15,POS2,Parieto-Occipital Sulcus Area 2,18,Posterior_Cingulate
16,V7,Seventh Visual Area,3,Dorsal_Stream_Visual
17,IPS1,IntraParietal Sulcus Area 1,3,Dorsal_Stream_Visual
18,FFC,Fusiform Face Complex,4,Ventral_Stream_Visual
19,V3B,Area V3B,3,Dorsal_Stream_Visual
20,LO1,Area Lateral Occipital 1,5,MT+_Complex_and_Neighboring_Visual_Areas
21,LO2,Area Lateral Occipital 2,5,MT+_Complex_and_Neighboring_Visual_Areas
22,PIT,"Posterior
InferoTemporal complex",4,Ventral_Stream_Visual
23,MT,"Middle Temporal
Area",5,MT+_Complex_and_Neighboring_Visual_Areas
24,A1,Primary Auditory Cortex,10,Early_Auditory
25,PSL,"PeriSylvian Language
Area",15,Temporo-Parieto-Occipital_Junction
26,SFL,"Superior Frontal
Language Area",22,Dorsolateral_Prefrontal
27,PCV,"PreCuneus Visual
Area",18,Posterior_Cingulate
28,STV,"Superior Temporal
Visual Area",15,Temporo-Parieto-Occipital_Junction
29,7Pm,Medial Area 7P,16,Superior_Parietal
30,7m,Area 7m,18,Posterior_Cingulate
31,POS1,"Parieto-Occipital
Sulcus Area 1",18,Posterior_Cingulate
32,23d,Area 23d,18,Posterior_Cingulate
33,v23ab,Area ventral 23 a+b,18,Posterior_Cingulate
34,d23ab,Area dorsal 23 a+b,18,Posterior_Cingulate
35,31pv,Area 31p ventral,18,Posterior_Cingulate
36,5m,Area 5m,7,Paracentral_Lobular_and_Mid_Cingulate
37,5mv,Area 5m ventral,7,Paracentral_Lobular_and_Mid_Cingulate
38,23c,Area 23c,7,Paracentral_Lobular_and_Mid_Cingulate
39,5L,Area 5L,7,Paracentral_Lobular_and_Mid_Cingulate
40,24dd,Dorsal Area 24d,7,Paracentral_Lobular_and_Mid_Cingulate
41,24dv,Ventral Area 24d,7,Paracentral_Lobular_and_Mid_Cingulate
42,7AL,Lateral Area 7A,16,Superior_Parietal
43,SCEF,"Supplementary and
Cingulate Eye Field",7,Paracentral_Lobular_and_Mid_Cingulate
44,6ma,Area 6m anterior,7,Paracentral_Lobular_and_Mid_Cingulate
45,7Am,Medial Area 7A,16,Superior_Parietal
46,7Pl,Lateral Area 7P,16,Superior_Parietal
47,7PC,Area 7PC,16,Superior_Parietal
48,LIPv,"Area Lateral
IntraParietal ventral",16,Superior_Parietal
49,VIP,Ventral IntraParietal Complex,16,Superior_Parietal
50,MIP,Medial IntraParietal Area,16,Superior_Parietal
51,1,Area 1,6,Somatosensory_and_Motor
52,2,Area 2,6,Somatosensory_and_Motor
