Parcel,Hemisphere,AreaAbbreviation,AreaName,SectionNumber,Region,NetworkID,NetworkName,NetworkRGB,NetworkRGBA
1,L,V1,Primary Visual Cortex,1,Primary_Visual,1,Visual1,"[0, 0, 255]","[0, 0, 255, 255]"
2,L,MST,"Medial Superior
Temporal Area",5,MT+_Complex_and_Neighboring_Visual_Areas,2,Visual2,"[100, 0, 255]","[100, 0, 255, 255]"
3,L,V6,Sixth Visual Area,3,Dorsal_Stream_Visual,2,Visual2,"[100, 0, 255]","[100, 0, 255, 255]"
4,L,V2,Second Visual Area,2,Early_Visual,2,Visual2,"[100, 0, 255]","[100, 0, 255, 255]"
5,L,V3,Third Visual Area,2,Early_Visual,2,Visual2,"[100, 0, 255]","[100, 0, 255, 255]"
6,L,V4,Fourth Visual Area,2,Early_Visual,2,Visual2,"[100, 0, 255]","[100, 0, 255, 255]"
7,L,V8,Eighth Visual Area,4,Ventral_Stream_Visual,2,Visual2,"[100, 0, 255]","[100, 0, 255, 255]"
8,L,4,"Primary Motor
Cortex",6,Somatosensory_and_Motor,3,Somatomotor,"[0, 255, 255]","[0, 255, 255, 255]"
9,L,3b,"Primary Sensory
Cortex",6,Somatosensory_and_Motor,3,Somatomotor,"[0, 255, 255]","[0, 255, 255, 255]"
10,L,FEF,Frontal Eye Fields,8,Premotor,4,Cingulo-Opercular,"[153, 0, 153]","[153, 0, 153, 255]"
11,L,PEF,Premotor Eye Field,8,Premotor,5,Dorsal-attention,"[0, 255, 0]","[0, 255, 0, 255]"
12,L,55b,Area 55b,8,Premotor,6,Language,"[0, 154, 154]","[0, 154, 154, 255]"
13,L,V3A,Area V3A,3,Dorsal_Stream_Visual,2,Visual2,"[100, 0, 255]","[100, 0, 255, 255]"
14,L,RSC,RetroSplenial Complex,18,Posterior_Cingulate,7,Frontoparietal,"[255, 255, 0]","[255, 255, 0, 255]"
15,L,POS2,Parieto-Occipital Sulcus Area 2,18,Posterior_Cingulate,7,Frontoparietal,"[255, 255, 0]","[255, 255, 0, 255]"
16,L,V7,Seventh Visual Area,3,Dorsal_Stream_Visual,2,Visual2,"[100, 0, 255]","[100, 0, 255, 255]"
17,L,IPS1,IntraParietal Sulcus Area 1,3,Dorsal_Stream_Visual,2,Visual2,"[100, 0, 255]","[100, 0, 255, 255]"
18,L,FFC,Fusiform Face Complex,4,Ventral_Stream_Visual,2,Visual2,"[100, 0, 255]","[100, 0, 255, 255]"
19,L,V3B,Area V3B,3,Dorsal_Stream_Visual,2,Visual2,"[100, 0, 255]","[100, 0, 255, 255]"
20,L,LO1,Area Lateral Occipital 1,5,MT+_Complex_and_Neighboring_Visual_Areas,2,Visual2,"[100, 0, 255]","[100, 0, 255, 255]"
21,L,LO2,Area Lateral Occipital 2,5,MT+_Complex_and_Neighboring_Visual_Areas,2,Visual2,"[100, 0, 255]","[100, 0, 255, 255]"
22,L,PIT,"Posterior
InferoTemporal complex",4,Ventral_Stream_Visual,2,Visual2,"[100, 0, 255]","[100, 0, 255, 255]"
23,L,MT,"Middle Temporal
Area",5,MT+_Complex_and_Neighboring_Visual_Areas,2,Visual2,"[100, 0, 255]","[100, 0, 255, 255]"
24,L,A1,Primary Auditory Cortex,10,Early_Auditory,8,Auditory,"[249, 61, 251]","[249, 61, 251, 255]"
25,L,PSL,"PeriSylvian Language
Area",15,Temporo-Parieto-Occipital_Junction,6,Language,"[0, 154, 154]","[0, 154, 154, 255]"
26,L,SFL,"Superior Frontal
Language Area",22,Dorsolateral_Prefrontal,6,Language,"[0, 154, 154]","[0, 154, 154, 255]"
27,L,PCV,"PreCuneus Visual
Area",18,Posterior_Cingulate,10,Posterior-Multimodal,"[177, 89, 40]","[177, 89, 40, 255]"
28,L,STV,"Superior Temporal
Visual Area",15,Temporo-Parieto-Occipital_Junction,6,Language,"[0, 154, 154]","[0, 154, 154, 255]"
29,L,7Pm,Medial Area 7P,16,Superior_Parietal,7,Frontoparietal,"[255, 255, 0]","[255, 255, 0, 255]"
30,L,7m,Area 7m,18,Posterior_Cingulate,9,Default,"[255, 0, 0]","[255, 0, 0, 255]"
31,L,POS1,"Parieto-Occipital
Sulcus Area 1",18,Posterior_Cingulate,9,Default,"[255, 0, 0]","[255, 0, 0, 255]"
32,L,23d,Area 23d,18,Posterior_Cingulate,9,Default,"[255, 0, 0]","[255, 0, 0, 255]"
33,L,v23ab,Area ventral 23 a+b,18,Posterior_Cingulate,9,Default,"[255, 0, 0]","[255, 0, 0, 255]"
34,L,d23ab,Area dorsal 23 a+b,18,Posterior_Cingulate,9,Default,"[255, 0, 0]","[255, 0, 0, 255]"
35,L,31pv,Area 31p ventral,18,Posterior_Cingulate,9,Default,"[255, 0, 0]","[255, 0, 0, 255]"
36,L,5m,Area 5m,7,Paracentral_Lobular_and_Mid_Cingulate,3,Somatomotor,"[0, 255, 255]","[0, 255, 255, 255]"
37,L,5mv,Area 5m ventral,7,Paracentral_Lobular_and_Mid_Cingulate,4,Cingulo-Opercular,"[153, 0, 153]","[153, 0, 153, 255]"
38,L,23c,Area 23c,7,Paracentral_Lobular_and_Mid_Cingulate,4,Cingulo-Opercular,"[153, 0, 153]","[153, 0, 153, 255]"
39,L,5L,Area 5L,7,Paracentral_Lobular_and_Mid_Cingulate,3,Somatomotor,"[0, 255, 255]","[0, 255, 255, 255]"
40,L,24dd,Dorsal Area 24d,7,Paracentral_Lobular_and_Mid_Cingulate,3,Somatomotor,"[0, 255, 255]","[0, 255, 255, 255]"
41,L,24dv,Ventral Area 24d,7,Paracentral_Lobular_and_Mid_Cingulate,3,Somatomotor,"[0, 255, 255]","[0, 255, 255, 255]"
42,L,7AL,Lateral Area 7A,16,Superior_Parietal,3,Somatomotor,"[0, 255, 255]","[0, 255, 255, 255]"
43,L,SCEF,"Supplementary and
Cingulate Eye Field",7,Paracentral_Lobular_and_Mid_Cingulate,4,Cingulo-Opercular,"[153, 0, 153]","[153, 0, 153, 255]"
44,L,6ma,Area 6m anterior,7,Paracentral_Lobular_and_Mid_Cingulate,4,Cingulo-Opercular,"[153, 0, 153]","[153, 0, 153, 255]"
45,L,7Am,Medial Area 7A,16,Superior_Parietal,4,Cingulo-Opercular,"[153, 0, 153]","[153, 0, 153, 255]"
46,L,7Pl,Lateral Area 7P,16,Superior_Parietal,5,Dorsal-attention,"[0, 255, 0]","[0, 255, 0, 255]"
47,L,7PC,Area 7PC,16,Superior_Parietal,3,Somatomotor,"[0, 255, 255]","[0, 255, 255, 255]"
48,L,LIPv,"Area Lateral
IntraParietal ventral",16,Superior_Parietal,2,Visual2,"[100, 0, 255]","[100, 0, 255, 255]"
49,L,VIP,Ventral IntraParietal Complex,16,Superior_Parietal,2,Visual2,"[100, 0, 255]","[100, 0, 255, 255]"
50,L,MIP,Medial IntraParietal Area,16,Superior_Parietal,5,Dorsal-attention,"[0, 255, 0]","[0, 255, 0, 255]"
51,L,1,Area 1,6,Somatosensory_and_Motor,3,Somatomotor,"[0, 255, 255]","[0, 255, 255, 255]"
52,L,2,Area 2,6,Somatosensory_and_Motor,3,Somatomotor,"[0, 255, 255]","[0, 255, 255, 255]"
53,L,3a,Area 3a,6,Somatosensory_and_Motor,3,Somatomotor,"[0, 255, 255]","[0, 255, 255, 255]"
54,L,6d,Dorsal area 6,8,Premotor,3,Somatomotor,"[0, 255, 255]","[0, 255, 255, 255]"
55,L,6mp,Area 6mp,7,Paracentral_Lobular_and_Mid_Cingulate,3,Somatomotor,"[0, 255, 255]","[0, 255, 255, 255]"
56,L,6v,Ventral Area 6,8,Premotor,3,Somatomotor,"[0, 255, 255]","[0, 255, 255, 255]"
57,L,p24pr,"Area Posterior 24
prime",19,Anterior_Cingulate_and_Medial_Prefrontal,4,Cingulo-Opercular,"[153, 0, 153]","[153, 0, 153, 255]"
58,L,33pr,Area 33 prime,19,Anterior_Cingulate_and_Medial_Prefrontal,4,Cingulo-Opercular,"[153, 0, 153]","[153, 0, 153, 255]"
59,L,a24pr,Anterior 24 prime,19,Anterior_Cingulate_and_Medial_Prefrontal,4,Cingulo-Opercular,"[153, 0, 153]","[153, 0, 153, 255]"
60,L,p32pr,Area p32 prime,19,Anterior_Cingulate_and_Medial_Prefrontal,4,Cingulo-Opercular,"[153, 0, 153]","[153, 0, 153, 255]"
61,L,a24,Area a24,19,Anterior_Cingulate_and_Medial_Prefrontal,9,Default,"[255, 0, 0]","[255, 0, 0, 255]"
62,L,d32,Area dorsal 32,19,Anterior_Cingulate_and_Medial_Prefrontal,9,Default,"[255, 0, 0]","[255, 0, 0, 255]"
63,L,8BM,Area 8BM,19,Anterior_Cingulate_and_Medial_Prefrontal,7,Frontoparietal,"[255, 255, 0]","[255, 255, 0, 255]"
64,L,p32,Area p32,19,Anterior_Cingulate_and_Medial_Prefrontal,9,Default,"[255, 0, 0]","[255, 0, 0, 255]"
65,L,10r,Area 10r,19,Anterior_Cingulate_and_Medial_Prefrontal,9,Default,"[255, 0, 0]","[255, 0, 0, 255]"
66,L,47m,Area 47m,20,Orbital_and_Polar_Frontal,9,Default,"[255, 0, 0]","[255, 0, 0, 255]"
67,L,8Av,Area 8Av,22,Dorsolateral_Prefrontal,9,Default,"[255, 0, 0]","[255, 0, 0, 255]"
68,L,8Ad,Area 8Ad,22,Dorsolateral_Prefrontal,9,Default,"[255, 0, 0]","[255, 0, 0, 255]"
69,L,9m,Area 9 Middle,19,Anterior_Cingulate_and_Medial_Prefrontal,9,Default,"[255, 0, 0]","[255, 0, 0, 255]"
70,L,8BL,Area 8B Lateral,19,Anterior_Cingulate_and_Medial_Prefrontal,9,Default,"[255, 0, 0]","[255, 0, 0, 255]"
71,L,9p,Area 9 Posterior,22,Dorsolateral_Prefrontal,9,Default,"[255, 0, 0]","[255, 0, 0, 255]"
72,L,10d,Area 10d,20,Orbital_and_Polar_Frontal,9,Default,"[255, 0, 0]","[255, 0, 0, 255]"
73,L,8C,Area 8C,22,Dorsolateral_Prefrontal,7,Frontoparietal,"[255, 255, 0]","[255, 255, 0, 255]"
74,L,44,Area 44,21,Inferior_Frontal,6,Language,"[0, 154, 154]","[0, 154, 154, 255]"
75,L,45,Area 45,21,Inferior_Frontal,6,Language,"[0, 154, 154]","[0, 154, 154, 255]"
76,L,47l,Area 47l (47 lateral),21,Inferior_Frontal,9,Default,"[255, 0, 0]","[255, 0, 0, 255]"
77,L,a47r,Area anterior 47r,21,Inferior_Frontal,7,Frontoparietal,"[255, 255, 0]","[255, 255, 0, 255]"
78,L,6r,Rostral Area 6,8,Premotor,4,Cingulo-Opercular,"[153, 0, 153]","[153, 0, 153, 255]"
79,L,IFJa,Area IFJa,21,Inferior_Frontal,6,Language,"[0, 154, 154]","[0, 154, 154, 255]"
80,L,IFJp,Area IFJp,21,Inferior_Frontal,7,Frontoparietal,"[255, 255, 0]","[255, 255, 0, 255]"
81,L,IFSp,Area IFSp,21,Inferior_Frontal,6,Language,"[0, 154, 154]","[0, 154, 154, 255]"
82,L,IFSa,Area IFSa,21,Inferior_Frontal,7,Frontoparietal,"[255, 255, 0]","[255, 255, 0, 255]"
83,L,"p9-
46v",Area posterior  9-46v,22,Dorsolateral_Prefrontal,7,Frontoparietal,"[255, 255, 0]","[255, 255, 0, 255]"
84,L,46,Area 46,22,Dorsolateral_Prefrontal,4,Cingulo-Opercular,"[153, 0, 153]","[153, 0, 153, 255]"
85,L,"a9-
46v",Area anterior  9-46v,22,Dorsolateral_Prefrontal,7,Frontoparietal,"[255, 255, 0]","[255, 255, 0, 255]"
86,L,9-46d,Area 9-46d,22,Dorsolateral_Prefrontal,4,Cingulo-Opercular,"[153, 0, 153]","[153, 0, 153, 255]"
87,L,9a,Area 9 anterior,22,Dorsolateral_Prefrontal,9,Default,"[255, 0, 0]","[255, 0, 0, 255]"
88,L,10v,Area 10v,19,Anterior_Cingulate_and_Medial_Prefrontal,9,Default,"[255, 0, 0]","[255, 0, 0, 255]"
89,L,a10p,Area anterior 10p,20,Orbital_and_Polar_Frontal,7,Frontoparietal,"[255, 255, 0]","[255, 255, 0, 255]"
90,L,10pp,Polar 10p,20,Orbital_and_Polar_Frontal,9,Default,"[255, 0, 0]","[255, 0, 0, 255]"
91,L,11l,Area 11l,20,Orbital_and_Polar_Frontal,7,Frontoparietal,"[255, 255, 0]","[255, 255, 0, 255]"
92,L,13l,Area 13l,20,Orbital_and_Polar_Frontal,7,Frontoparietal,"[255, 255, 0]","[255, 255, 0, 255]"
93,L,OFC,Orbital Frontal Complex,20,Orbital_and_Polar_Frontal,9,Default,"[255, 0, 0]","[255, 0, 0, 255]"
94,L,47s,Area 47s,20,Orbital_and_Polar_Frontal,9,Default,"[255, 0, 0]","[255, 0, 0, 255]"
95,L,LIPd,"Area Lateral
IntraParietal dorsal",16,Superior_Parietal,5,Dorsal-attention,"[0, 255, 0]","[0, 255, 0, 255]"
96,L,6a,Area 6 anterior,8,Premotor,5,Dorsal-attention,"[0, 255, 0]","[0, 255, 0, 255]"
97,L,i6-8,"Inferior 6-8
Transitional Area",22,Dorsolateral_Prefrontal,7,Frontoparietal,"[255, 255, 0]","[255, 255, 0, 255]"
98,L,s6-8,"Superior 6-8
Transitional Area",22,Dorsolateral_Prefrontal,7,Frontoparietal,"[255, 255, 0]","[255, 255, 0, 255]"
99,L,43,Area 43,9,Posterior_Opercular,4,Cingulo-Opercular,"[153, 0, 153]","[153, 0, 153, 255]"
100,L,OP4,Area OP4/PV,9,Posterior_Opercular,3,Somatomotor,"[0, 255, 255]","[0, 255, 255, 255]"
101,L,OP1,Area OP1/SII,9,Posterior_Opercular,3,Somatomotor,"[0, 255, 255]","[0, 255, 255, 255]"
102,L,OP2-3,Area OP2-3/VS,9,Posterior_Opercular,3,Somatomotor,"[0, 255, 255]","[0, 255, 255, 255]"
103,L,52,Area 52,10,Early_Auditory,8,Auditory,"[249, 61, 251]","[249, 61, 251, 255]"
104,L,RI,RetroInsular Cortex,10,Early_Auditory,8,Auditory,"[249, 61, 251]","[249, 61, 251, 255]"
105,L,PFcm,Area PFcm,10,Early_Auditory,4,Cingulo-Opercular,"[153, 0, 153]","[153, 0, 153, 255]"
106,L,PoI2,Posterior Insular Area 2,12,Insular_and_Frontal_Opercular,4,Cingulo-Opercular,"[153, 0, 153]","[153, 0, 153, 255]"
107,L,TA2,Area TA2,11,Auditory_Association,8,Auditory,"[249, 61, 251]","[249, 61, 251, 255]"
108,L,FOP4,"Frontal OPercular
Area 4",12,Insular_and_Frontal_Opercular,4,Cingulo-Opercular,"[153, 0, 153]","[153, 0, 153, 255]"
109,L,MI,Middle Insular Area,12,Insular_and_Frontal_Opercular,4,Cingulo-Opercular,"[153, 0, 153]","[153, 0, 153, 255]"
110,L,Pir,Pirform Cortex,12,Insular_and_Frontal_Opercular,12,Orbito-Affective,"[65, 124, 0]","[65, 124, 0, 255]"
111,L,AVI,Anterior Ventral Insular Area,12,Insular_and_Frontal_Opercular,7,Frontoparietal,"[255, 255, 0]","[255, 255, 0, 255]"
112,L,AAIC,"Anterior Agranular
Insula Complex",12,Insular_and_Frontal_Opercular,12,Orbito-Affective,"[65, 124, 0]","[65, 124, 0, 255]"
113,L,FOP1,"Frontal OPercular
Area 1",9,Posterior_Opercular,4,Cingulo-Opercular,"[153, 0, 153]","[153, 0, 153, 255]"
114,L,FOP3,"Frontal OPercular
Area 3",12,Insular_and_Frontal_Opercular,4,Cingulo-Opercular,"[153, 0, 153]","[153, 0, 153, 255]"
115,L,FOP2,"Frontal OPercular
Area 2",12,Insular_and_Frontal_Opercular,3,Somatomotor,"[0, 255, 255]","[0, 255, 255, 255]"
116,L,PFt,Area PFt,17,Inferior_Parietal,5,Dorsal-attention,"[0, 255, 0]","[0, 255, 0, 255]"
117,L,AIP,"Anterior IntraParietal
Area",16,Superior_Parietal,5,Dorsal-attention,"[0, 255, 0]","[0, 255, 0, 255]"
118,L,EC,Entorhinal Cortex,13,Medial_Temporal,9,Default,"[255, 0, 0]","[255, 0, 0, 255]"
119,L,PreS,PreSubiculum,13,Medial_Temporal,9,Default,"[255, 0, 0]","[255, 0, 0, 255]"
120,L,H,Hippocampus,13,Medial_Temporal,9,Default,"[255, 0, 0]","[255, 0, 0, 255]"
121,L,ProS,ProStriate Area,18,Posterior_Cingulate,1,Visual1,"[0, 0, 255]","[0, 0, 255, 255]"
122,L,PeEc,Perirhinal Ectorhinal Cortex,13,Medial_Temporal,11,Ventral-Multimodal,"[255, 156, 0]","[255, 156, 0, 255]"
123,L,STGa,Area STGa,11,Auditory_Association,6,Language,"[0, 154, 154]","[0, 154, 154, 255]"
124,L,PBelt,ParaBelt Complex,10,Early_Auditory,8,Auditory,"[249, 61, 251]","[249, 61, 251, 255]"
125,L,A5,Auditory 5 Complex,11,Auditory_Association,6,Language,"[0, 154, 154]","[0, 154, 154, 255]"
126,L,PHA1,"ParaHippocampal
Area 1",13,Medial_Temporal,9,Default,"[255, 0, 0]","[255, 0, 0, 255]"
127,L,PHA3,ParaHippocampal Area 3,13,Medial_Temporal,5,Dorsal-attention,"[0, 255, 0]","[0, 255, 0, 255]"
128,L,STSda,Area STSd anterior,11,Auditory_Association,6,Language,"[0, 154, 154]","[0, 154, 154, 255]"
129,L,STSdp,Area STSd posterior,11,Auditory_Association,6,Language,"[0, 154, 154]","[0, 154, 154, 255]"
130,L,STSvp,Area STSv posterior,11,Auditory_Association,9,Default,"[255, 0, 0]","[255, 0, 0, 255]"
131,L,TGd,Area TG dorsal,14,Lateral_Temporal,9,Default,"[255, 0, 0]","[255, 0, 0, 255]"
132,L,TE1a,Area TE1 anterior,14,Lateral_Temporal,9,Default,"[255, 0, 0]","[255, 0, 0, 255]"
133,L,TE1p,Area TE1 posterior,14,Lateral_Temporal,7,Frontoparietal,"[255, 255, 0]","[255, 255, 0, 255]"
134,L,TE2a,Area TE2 anterior,14,Lateral_Temporal,9,Default,"[255, 0, 0]","[255, 0, 0, 255]"
135,L,TF,Area TF,13,Medial_Temporal,11,Ventral-Multimodal,"[255, 156, 0]","[255, 156, 0, 255]"
136,L,TE2p,Area TE2 posterior,14,Lateral_Temporal,5,Dorsal-attention,"[0, 255, 0]","[0, 255, 0, 255]"
137,L,PHT,Area PHT,14,Lateral_Temporal,5,Dorsal-attention,"[0, 255, 0]","[0, 255, 0, 255]"
138,L,PH,Area PH,5,MT+_Complex_and_Neighboring_Visual_Areas,2,Visual2,"[100, 0, 255]","[100, 0, 255, 255]"
139,L,TPOJ1,"Area
TemporoParietoOcci pital Junction 1",15,Temporo-Parieto-Occipital_Junction,6,Language,"[0, 154, 154]","[0, 154, 154, 255]"
140,L,TPOJ2,"Area
TemporoParietoOcci pital Junction 2",15,Temporo-Parieto-Occipital_Junction,10,Posterior-Multimodal,"[177, 89, 40]","[177, 89, 40, 255]"
141,L,TPOJ3,"Area
TemporoParietoOcci pital Junction 3",15,Temporo-Parieto-Occipital_Junction,10,Posterior-Multimodal,"[177, 89, 40]","[177, 89, 40, 255]"
142,L,DVT,"Dorsal Transitional
Visual Area",18,Posterior_Cingulate,1,Visual1,"[0, 0, 255]","[0, 0, 255, 255]"
143,L,PGp,Area PGp,17,Inferior_Parietal,5,Dorsal-attention,"[0, 255, 0]","[0, 255, 0, 255]"
144,L,IP2,Area IntraParietal 2,17,Inferior_Parietal,7,Frontoparietal,"[255, 255, 0]","[255, 255, 0, 255]"
145,L,IP1,Area IntraParietal 1,17,Inferior_Parietal,7,Frontoparietal,"[255, 255, 0]","[255, 255, 0, 255]"
146,L,IP0,Area IntraParietal 0,17,Inferior_Parietal,5,Dorsal-attention,"[0, 255, 0]","[0, 255, 0, 255]"
147,L,PFop,Area PF opercular,17,Inferior_Parietal,4,Cingulo-Opercular,"[153, 0, 153]","[153, 0, 153, 255]"
148,L,PF,Area PF Complex,17,Inferior_Parietal,4,Cingulo-Opercular,"[153, 0, 153]","[153, 0, 153, 255]"
149,L,PFm,Area PFm Complex,17,Inferior_Parietal,7,Frontoparietal,"[255, 255, 0]","[255, 255, 0, 255]"
150,L,PGi,Area PGi,17,Inferior_Parietal,9,Default,"[255, 0, 0]","[255, 0, 0, 255]"
151,L,PGs,Area PGs,17,Inferior_Parietal,9,Default,"[255, 0, 0]","[255, 0, 0, 255]"
152,L,V6A,Area V6A,3,Dorsal_Stream_Visual,2,Visual2,"[100, 0, 255]","[100, 0, 255, 255]"
153,L,VMV1,"VentroMedial Visual
Area 1",4,Ventral_Stream_Visual,2,Visual2,"[100, 0, 255]","[100, 0, 255, 255]"
154,L,VMV3,"VentroMedial Visual
Area 3",4,Ventral_Stream_Visual,2,Visual2,"[100, 0, 255]","[100, 0, 255, 255]"
